"","stateabbr","block_fips","hu2010","hu2011","hu2012","hu2013","hu2014","hu2015","hu2016","hu2017","pop2010","pop2011","pop2012","pop2013","pop2014","pop2015","pop2016","pop2017","hh2010","hh2011","hh2012","hh2013","hh2014","hh2015","hh2016","hh2017","TractCode"
"10089997","VT",500019601003043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089998","VT",500019601003044,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,"50001960100"
"10089999","VT",500019601003045,6,6,6,6,6,6,6,6,13,13,13,13,13,13,13,13,5,5,5,5,5,5,5,5,"50001960100"
"10090000","VT",500019601003046,7,7,7,7,7,7,7,7,17,17,17,17,17,17,17,17,6,6,6,6,6,6,6,6,"50001960100"
"10090001","VT",500019601003047,35,35,35,35,35,35,35,38,100,100,99,99,99,99,99,99,34,34,34,34,34,34,34,36.9142,"50001960100"
"10090002","VT",500019601003048,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,"50001960100"
"10090003","VT",500019601003049,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,2,2,2,2,2,2,2,2,"50001960100"
"10090004","VT",500019601003050,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,"50001960100"
"10090005","VT",500019601003051,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,"50001960100"
"10090006","VT",500019601003052,51,52,52,53,53,54,54,55,139,139,138,138,139,139,139,139,47,47.9216,47.9216,48.8432,48.8432,49.7648,49.7648,50.6864,"50001960100"
"10090007","VT",500019601003053,84,84,84,84,85,87,89,93,221,222,221,222,222,222,223,216,83,83,83,83,83.9881,85.9643,87.9405,91.8929,"50001960100"
"10090008","VT",500019601003054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10090009","VT",500019601003055,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,"50001960100"
"10090010","VT",500019601003056,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8403,"50001960100"
"10090011","VT",500019601003057,4,4,4,4,4,4,4,4,9,9,9,9,9,9,9,9,4,4,4,4,4,4,4,4,"50001960100"
"10090012","VT",500019601003058,23,23,23,23,23,24,24,24,52,54,53,53,53,53,53,53,20,20,20,20,20,20.8696,20.8696,20.8696,"50001960100"
"10090013","VT",500019601003059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10090014","VT",500019601003060,22,22,22,22,22,22,22,23,55,55,54,54,54,54,55,55,22,22,22,22,22,22,22,23,"50001960100"
"10090015","VT",500019601003061,9,9,9,9,9,9,9,10,17,17,17,17,17,17,17,17,9,9,9,9,9,9,9,10,"50001960100"
"10090016","VT",500019601003062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10090017","VT",500019601003063,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,"50001960100"
"10090018","VT",500019601003064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10090019","VT",500019601003065,31,31,31,32,32,32,33,36,87,87,86,86,86,86,86,86,29,29,29,29.9355,29.9355,29.9355,30.871,33.6775,"50001960100"
"10090020","VT",500019601003066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10090021","VT",500019601003067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10090022","VT",500019601003068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10090023","VT",500019601003069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10090024","VT",500019601003070,20,20,21,21,21,21,22,23,48,48,48,48,48,48,48,48,20,20,21,21,21,21,22,23,"50001960100"
